word,in_females,in_males,in_total,
paint,47,41,88,
david,138,187,325,
discuss,23,31,54,
must,163,161,324,
coldplay,31,35,66,
full,198,253,451,
picked,24,32,56,
cohen,16,37,53,
the,2171,3221,5392,
stop,97,135,232,
ear,26,31,57,
eat,405,533,938,
direction,23,41,64,
runner,48,68,116,
d,50,95,145,
moving,91,159,250,
usually,374,546,920,
lazy,37,61,98,
cuddle,25,37,62,
studying,97,126,223,
tvbr,37,61,98,
states,39,54,93,
pick,73,117,190,
amount,59,102,161,
strange,52,98,150,
witha,20,33,53,
while,387,598,985,
wide,68,109,177,
sister,72,47,119,
longer,43,74,117,
together,179,216,395,
degree,98,164,262,
post,36,54,90,
works,81,120,201,
drugs,24,34,58,
understanding,36,71,107,
guess,218,347,565,
