word,in_females,in_males,in_total,
perfectly,24,36,60,
whether,153,186,339,
emotional,32,41,73,
hills,39,42,81,
tomake,19,43,62,
integrity,44,20,64,
pay,44,77,121,
appreciate,169,167,336,
stick,47,54,101,
etcbr,94,168,262,
name,195,337,532,
multiple,20,35,55,
sons,55,65,120,
woman,176,185,361,
andi,45,51,96,
jackson,38,51,89,
iti,33,61,94,
its,954,1382,2336,
bit,329,502,831,
filling,33,57,90,
cool,161,376,537,
box,59,74,133,
bon,61,48,109,
clean,71,75,146,
clear,49,43,92,
silly,154,142,296,
beyond,50,96,146,
compassionate,60,60,120,
crap,25,45,70,
mention,70,74,144,
thatbr,45,81,126,
inch,24,34,58,
quickly,30,51,81,
outdoor,62,84,146,
think,853,1272,2125,
when,963,1357,2320,
recently,293,517,810,
soon,71,125,196,
withfriends,51,79,130,
indian,150,246,396,
pursue,29,50,79,
gold,24,31,55,
section,53,64,117,
kind,449,568,1017,
king,59,109,168,
smart,193,260,453,
period,22,40,62,
matters,33,36,69,
cards,27,35,62,
attempting,23,35,58,
finished,82,116,198,
winebr,58,51,109,
masters,72,88,160,
surprised,16,37,53,
explain,19,46,65,
thesame,24,28,52,
iver,41,32,73,
friendship,57,71,128,
programming,10,47,57,
keeps,72,93,165,
desire,53,69,122,
casual,52,67,119,
theres,181,279,460,
gentleman,28,41,69,
visual,21,50,71,
love,1708,2011,3719,
shoot,21,46,67,
drinking,153,203,356,
funbr,57,79,136,
bear,33,56,89,
cruz,20,33,53,
ilike,89,128,217,
single,134,147,281,
oakland,101,106,207,
perspective,30,52,82,
beat,88,86,174,
message,187,287,474,
international,54,45,99,
drink,181,276,457,
doors,28,64,92,
situations,66,70,136,
literature,40,47,87,
white,144,187,331,
fairly,69,114,183,
good,1450,2090,3540,
because,422,621,1043,
dancing,417,310,727,
swim,37,53,90,
milk,49,59,108,
luck,37,44,81,
along,216,336,552,
alone,92,124,216,
friday,224,308,532,
stewart,31,22,53,
jones,43,54,97,
bell,51,30,81,
routine,21,37,58,
burning,35,54,89,
weeds,27,34,61,
bill,59,99,158,
enjoying,254,343,597,
cold,75,102,177,
sometimes,374,552,926,
england,22,36,58,
freedom,55,63,118,
perhaps,80,128,208,
development,126,170,296,
against,40,99,139,
coast,126,164,290,
married,69,71,140,
learned,76,128,204,
point,140,240,380,
myfriends,40,35,75,
inbr,22,55,77,
minutes,38,68,106,
hall,33,42,75,
half,136,187,323,
bones,42,20,62,
eastern,38,34,72,
theworld,40,74,114,
betterbr,28,40,68,
graduate,70,83,153,
progressive,19,43,62,
stranger,36,60,96,
adventures,165,192,357,
achieve,19,35,54,
searching,39,39,78,
lets,150,266,416,
countries,62,64,126,
album,13,38,51,
related,43,68,111,
issues,49,61,110,
details,26,42,68,
smith,53,54,107,
humor,340,434,774,
kidding,30,36,66,
chinese,87,164,251,
has,503,748,1251,
had,368,531,899,
ocean,102,101,203,
brown,61,104,165,
easygoing,59,81,140,
mark,23,45,68,
mars,18,43,61,
mary,30,42,72,
whos,59,83,142,
whom,64,71,135,
fan,167,301,468,
far,220,368,588,
fat,33,45,78,
fav,31,28,59,
classplink,26,25,51,
front,74,114,188,
giants,70,99,169,
seems,100,197,297,
vs,36,55,91,
also,1028,1459,2487,
suppose,55,76,131,
zeppelin,27,48,75,
board,70,122,192,
opening,40,47,87,
fancy,39,73,112,
beach,183,201,384,
got,299,557,856,
god,99,164,263,
openminded,58,67,125,
crime,50,70,120,
adventurebr,35,37,72,
program,53,78,131,
older,47,65,112,
system,33,65,98,
smiths,38,38,76,
peoplebr,98,148,246,
phd,26,67,93,
learning,304,360,664,
weekend,117,189,306,
talking,219,333,552,
peoples,79,131,210,
modest,29,41,70,
peoplei,16,35,51,
massage,33,36,69,
outbr,58,110,168,
says,63,94,157,
and,2231,3283,5514,
any,512,822,1334,
markets,32,21,53,
carry,26,42,68,
netflix,74,104,178,
beerbr,11,46,57,
foods,136,156,292,
happybr,21,35,56,
way,540,812,1352,
was,634,1117,1751,
war,49,103,152,
patience,32,20,52,
musicbr,339,526,865,
butim,17,37,54,
talent,14,41,55,
otherwise,61,114,175,
doesnt,186,319,505,
above,89,148,237,
something,580,913,1493,
sushi,204,246,450,
machine,47,56,103,
greek,34,39,73,
green,123,149,272,
saving,35,60,95,
series,139,227,366,
laughbr,59,80,139,
chilling,44,70,114,
knowing,54,94,148,
traveled,71,86,157,
like,1636,2521,4157,
rolling,45,66,111,
bunch,52,93,145,
depeche,22,29,51,
except,155,201,356,
jack,56,87,143,
kindness,41,30,71,
anything,740,1166,1906,
sensual,27,33,60,
tons,23,35,58,
passionate,221,226,447,
despite,47,70,117,
wall,31,49,80,
walk,133,195,328,
falling,38,51,89,
magic,30,47,77,
jane,49,26,75,
devil,32,29,61,
forget,37,64,101,
problems,37,107,144,
inspire,33,22,55,
mode,32,47,79,
letting,27,31,58,
whole,125,189,314,
alot,93,124,217,
large,76,141,217,
offer,70,88,158,
evil,19,47,66,
sites,26,32,58,
cuisine,44,49,93,
scrabble,32,32,64,
guy,192,756,948,
wire,60,111,171,
rule,14,42,56,
mei,53,77,130,
met,170,202,372,
street,70,130,200,
reading,515,672,1187,
importantly,26,34,60,
andhave,29,34,63,
diverse,27,45,72,
experiencing,30,43,73,
sum,20,48,68,
sun,142,168,310,
might,265,442,707,
battlestar,21,53,74,
check,75,139,214,
yorker,37,29,66,
done,158,215,373,
ended,24,45,69,
philosophical,24,32,56,
standing,19,39,58,
floyd,19,48,67,
enjoyed,66,111,177,
kite,34,21,55,
worked,86,133,219,
preferably,45,52,97,
massages,20,38,58,
have,1748,2495,4243,
annie,19,32,51,
make,805,1172,1977,
found,121,217,338,
phoenix,37,28,65,
collective,26,43,69,
sharing,85,87,172,
blind,23,43,66,
gave,29,37,66,
days,268,417,685,
feel,477,649,1126,
feet,98,95,193,
experience,127,185,312,
memale,0,117,117,
what,1080,1659,2739,
worth,50,111,161,
physical,77,113,190,
memory,19,34,53,
bored,28,92,120,
help,203,298,501,
excuse,20,34,54,
called,104,147,251,
hours,117,172,289,
eyes,336,428,764,
does,158,224,382,
ice,122,175,297,
mexico,23,30,53,
bride,46,47,93,
startup,39,113,152,
tell,325,504,829,
effort,24,34,58,
religion,30,41,71,
gotten,41,70,111,
healthy,181,182,363,
latest,41,40,81,
tomale,0,63,63,
those,307,473,780,
away,173,272,445,
subject,21,44,65,
one,861,1250,2111,
bluegrass,33,23,56,
questions,76,143,219,
friendships,35,47,82,
classical,85,177,262,
clever,16,45,61,
coffee,221,299,520,
sanfrancisco,40,76,116,
contact,66,74,140,
sing,117,104,221,
goal,70,112,182,
his,160,202,362,
certain,44,73,117,
marley,18,40,58,
snowboarding,28,73,101,
hit,77,162,239,
consider,124,173,297,
ofhumor,27,31,58,
lie,46,55,101,
reason,86,150,236,
ends,26,44,70,
citybr,33,50,83,
historical,32,31,63,
very,706,1028,1734,
appreciating,29,29,58,
patient,34,51,85,
travelingbr,48,38,86,
dear,19,34,53,
deal,61,95,156,
dead,119,229,348,
none,21,58,79,
thought,122,218,340,
past,172,275,447,
pass,38,50,88,
state,107,148,255,
fast,78,156,234,
cross,16,43,59,
impact,27,38,65,
our,215,323,538,
out,1490,2164,3654,
john,134,220,354,
master,28,65,93,
laughterbr,90,86,176,
california,143,189,332,
ones,159,204,363,
from,1131,1640,2771,
element,14,39,53,
explore,158,194,352,
monty,24,40,64,
northern,36,39,75,
photos,31,90,121,
foreign,101,98,199,
day,517,773,1290,
quick,61,78,139,
service,48,50,98,
challenges,30,46,76,
delicious,81,60,141,
meaningful,41,45,86,
impossible,19,37,56,
advantage,21,35,56,
changes,24,57,81,
changed,17,36,53,
again,147,189,336,
miles,47,105,152,
exciting,46,92,138,
force,15,37,52,
perfect,89,145,234,
showsbr,44,81,125,
techno,22,32,54,
twin,34,51,85,
myfavorite,63,57,120,
card,28,52,80,
care,242,281,523,
seem,136,216,352,
seek,32,41,73,
clothing,25,28,53,
piece,33,42,75,
potter,102,129,231,
blonde,36,28,64,
thanks,46,78,124,
anythingbr,21,49,70,
smoking,21,49,70,
facebook,28,42,70,
st,34,63,97,
dancingbr,49,30,79,
japan,16,37,53,
complicated,19,36,55,
google,28,48,76,
unique,57,87,144,
afew,30,35,65,
neil,39,54,93,
magical,27,26,53,
count,69,98,167,
draw,30,58,88,
toward,31,43,74,
travelling,23,35,58,
bigger,32,23,55,
towards,63,131,194,
writer,37,51,88,
action,91,140,231,
figure,116,189,305,
aside,37,57,94,
cycling,15,46,61,
express,33,34,67,
chicago,29,48,77,
personality,107,157,264,
messages,35,41,76,
ideas,90,176,266,
ideal,42,49,91,
tattoo,44,49,93,
isbr,34,33,67,
about,1218,1856,3074,
wanting,36,38,74,
either,178,302,480,
better,366,604,970,
appreciation,35,30,65,
across,61,104,165,
hurt,26,41,67,
teaching,85,121,206,
run,156,262,418,
part,251,382,633,
park,142,254,396,
coworkers,22,34,56,
classes,51,69,120,
